train/reward,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/clip_fraction,train/policy_gradient_loss,train/clip_range,train/std,train/loss,train/n_updates,train/approx_kl,train/learning_rate,train/value_loss,train/entropy_loss,train/explained_variance
0.3605704,1258.0,1,7,57.164875,2048,266,,,,,,,,,,,
-0.012038707,1258.0,2,16,55.388030333333326,4096,241,0.195068359375,-0.0406279471819289,0.2,1.0033928155899048,2.6106677055358887,10,0.017304406,0.00025,5.7313650816679,-41.20921406745911,-0.036719441413879395
1.5282221,1258.0,3,25,57.06774075,6144,237,0.209814453125,-0.03309468773077242,0.2,1.0066834688186646,1.7008731365203857,20,0.019258745,0.00025,5.861207059025764,-41.29765419960022,-0.03636753559112549
0.69062513,1258.0,4,34,55.61225366666667,8192,237,0.2236328125,-0.03398888611118309,0.2,1.009045124053955,1.5157442092895508,30,0.019978933,0.00025,5.656544531881809,-41.37753775119781,0.044191837310791016
1.245791,1258.0,5,43,56.65179475,10240,237,0.20283203125,-0.03368090967996977,0.2,1.01114821434021,1.4693254232406616,40,0.018149922,0.00025,4.810958084464073,-41.44266617298126,-0.026331305503845215
1.6241438,1258.0,6,52,58.08595722222223,12288,235,0.23486328125,-0.02760437139077112,0.2,1.0121699571609497,2.48630690574646,50,0.022996008,0.00025,6.107373607158661,-41.48106591701507,-0.007686138153076172
-0.21214089,1258.0,7,61,59.0039190909091,14336,231,0.2712890625,-0.032587249396601695,0.2,1.0137300491333008,1.423188328742981,60,0.026148694,0.00025,4.878959876298905,-41.521292972564694,0.031106412410736084
0.1021708,1258.0,8,71,56.76199900000001,16384,229,0.214501953125,-0.030978622945258393,0.2,1.0150501728057861,2.1240522861480713,70,0.01979364,0.00025,6.3013171523809435,-41.55853352546692,0.015008330345153809
-3.1746113,1258.0,9,80,57.91875807142858,18432,228,0.265966796875,-0.031242604553699493,0.2,1.0178805589675903,2.769460916519165,80,0.02491382,0.00025,5.704464793205261,-41.62229278087616,0.04287773370742798
-0.07863538,1258.0,10,90,59.201798249999996,20480,226,0.22734375,-0.028744262701366097,0.2,1.0191175937652588,2.1109886169433594,90,0.02057062,0.00025,5.4710853636264805,-41.678365325927736,0.09091514348983765
0.1344926,1258.0,11,100,58.93450870588235,22528,225,0.237841796875,-0.026336229930166155,0.2,1.0212005376815796,3.0552234649658203,100,0.023403296,0.00025,7.195668724179268,-41.72387316226959,0.06999474763870239
0.22983474,1258.0,12,109,59.019250421052625,24576,223,0.276220703125,-0.02737648075562902,0.2,1.0244379043579102,2.591608762741089,110,0.025841366,0.00025,5.232625071704388,-41.80294032096863,0.10779756307601929
0.4763807,1258.0,13,119,57.696368285714286,26624,222,0.291748046875,-0.03117251379881054,0.2,1.025461196899414,2.303804636001587,120,0.027775653,0.00025,4.479781746864319,-41.86047201156616,0.12943047285079956
-2.874003,1258.0,14,129,57.95078954545455,28672,221,0.273828125,-0.026901228842325507,0.2,1.028968095779419,1.7005643844604492,130,0.027497368,0.00025,5.105073760449886,-41.920403838157654,0.12107175588607788
0.072103195,1258.0,15,138,58.11479649999999,30720,221,0.27236328125,-0.02650082834297791,0.2,1.03105628490448,1.5871037244796753,140,0.028065402,0.00025,4.735311271250248,-42.0050831079483,0.12626832723617554
-1.2515635,1258.0,16,147,58.30752776923076,32768,221,0.26904296875,-0.024911329010501505,0.2,1.0330700874328613,1.4624271392822266,150,0.024468796,0.00025,4.014143489301205,-42.056494450569154,0.24733126163482666
-0.11290255,1258.0,17,157,59.59940962962961,34816,221,0.316357421875,-0.018317542830482127,0.2,1.0357773303985596,1.915088415145874,160,0.030047694,0.00025,5.289343912899494,-42.132983112335204,0.2206631898880005
0.111224696,1258.0,18,167,60.18107193103447,36864,220,0.284765625,-0.017787385371048004,0.2,1.0361565351486206,2.117319107055664,170,0.0266563,0.00025,6.171697689592838,-42.166422271728514,0.13743609189987183
2.0333564,1258.0,19,176,60.69165339999998,38912,220,0.2912109375,-0.02440257929847576,0.2,1.0381410121917725,2.2576544284820557,180,0.030343827,0.00025,6.989055669307708,-42.205480909347536,0.07401645183563232
1.1273667,1258.0,20,184,60.387008718749996,40960,221,0.27802734375,-0.021296461432939395,0.2,1.0393292903900146,2.228252649307251,190,0.027850702,0.00025,5.754092824459076,-42.24437322616577,0.20205575227737427
-0.9908228,1258.0,21,194,61.52409267647058,43008,221,0.297314453125,-0.022252366587053984,0.2,1.0395886898040771,1.152231216430664,200,0.032615893,0.00025,4.819065771996975,-42.26392652988434,0.0251198410987854
-0.68677926,1258.0,22,203,62.015175314285706,45056,221,0.259130859375,-0.021565085795009507,0.2,1.0405430793762207,2.7599966526031494,210,0.023867948,0.00025,6.961542844772339,-42.27962245941162,0.11635488271713257
-0.2742733,1258.0,23,213,64.0580908108108,47104,221,0.28251953125,-0.023511264828266577,0.2,1.04362154006958,2.629805564880371,220,0.026864262,0.00025,5.809453824162484,-42.337960433959964,0.10869944095611572
0.41505018,1258.0,24,222,65.12700479487178,49152,221,0.256005859375,-0.029419387539383023,0.2,1.0441440343856812,1.9533350467681885,230,0.023426406,0.00025,5.0382937610149385,-42.387988328933716,0.22664874792099
0.1807815,1258.0,25,231,65.265039375,51200,220,0.25009765625,-0.020613987918477506,0.2,1.0465426445007324,2.7189853191375732,240,0.024911188,0.00025,6.643674898147583,-42.42455534934997,0.1783607006072998
